county,technology,columns,candidate,votes
Highlands,Votomatic,1,Harris,6
Hillsborough,Votomatic,1,Harris,35
Holmes,Optical,1,Harris,1
IndianRiver,Votomatic,1,Harris,4
Jackson,Optical,2,Harris,0
Jefferson,Datavote,1,Harris,2
Lafayette,Optical,2,Harris,2
Lake,Optical,1,Harris,4
Lee,Votomatic,1,Harris,30
Leon,Optical,1,Harris,9
Levy,Optical,2,Harris,1
Liberty,Optical,2,Harris,0
Madison,Datavote,1,Harris,0
Manatee,Optical,1,Harris,5
Marion,Votomatic,1,Harris,13
Martin,Lever,1,Harris,14
MiamiDade,Votomatic,1,Harris,87
Monroe,Optical,1,Harris,1
Nassau,Datavote,2,Harris,0
Okaloosa,Optical,1,Harris,4
Okeechobee,Optical,2,Harris,1
Orange,Optical,1,Harris,13
Osceola,Votomatic,1,Harris,10
PalmBeach,Votomatic,2,Harris,45
Pasco,Votomatic,1,Harris,19
Pinellas,Votomatic,1,Harris,41
Polk,Optical,1,Harris,8
Putnam,Optical,1,Harris,2
SantaRosa,Optical,1,Harris,1
Sarasota,Votomatic,1,Harris,11
Seminole,Optical,1,Harris,6
StJohns,Optical,1,Harris,4
StLucie,Optical,1,Harris,4
Sumter,Votomatic,1,Harris,2
Suwannee,Optical,2,Harris,2
Taylor,Optical,2,Harris,0
Union,Hand,2,Harris,1
Volusia,Optical,1,Harris,8
Wakulla,Datavote,1,Harris,2
Walton,Optical,1,Harris,3
Washington,Optical,1,Harris,0
Alachua,Optical,1,Hagelin,42
Baker,Optical,1,Hagelin,3
Bay,Optical,1,Hagelin,18
Bradford,Optical,2,Hagelin,2
Brevard,Optical,1,Hagelin,39
Broward,Votomatic,1,Hagelin,135
Calhoun,Optical,1,Hagelin,1
Charlotte,Optical,2,Hagelin,15
Citrus,Optical,1,Hagelin,16
Clay,Optical,1,Hagelin,14
Collier,Votomatic,1,Hagelin,34
Columbia,Optical,1,Hagelin,7
DeSoto,Datavote,2,Hagelin,0
Dixie,Datavote,1,Hagelin,2
Duval,Votomatic,2,Hagelin,162
Escambia,Optical,1,Hagelin,24
Flagler,Optical,1,Hagelin,4
Franklin,Optical,2,Hagelin,3
Gadsden,Optical,2,Hagelin,4
Gilchrist,Datavote,1,Hagelin,1
Glades,Datavote,1,Hagelin,3
Gulf,Optical,2,Hagelin,4
Hamilton,Optical,2,Hagelin,1
Hardee,Datavote,1,Hagelin,2
Hendry,Optical,2,Hagelin,1
Hernando,Optical,1,Hagelin,26
Highlands,Votomatic,1,Hagelin,16
Hillsborough,Votomatic,1,Hagelin,217
Holmes,Optical,1,Hagelin,7
IndianRiver,Votomatic,1,Hagelin,13
Jackson,Optical,2,Hagelin,2
Jefferson,Datavote,1,Hagelin,1
Lafayette,Optical,2,Hagelin,0
Lake,Optical,1,Hagelin,36
Lee,Votomatic,1,Hagelin,81
Leon,Optical,1,Hagelin,28
Levy,Optical,2,Hagelin,1
Liberty,Optical,2,Hagelin,3
Madison,Datavote,1,Hagelin,2
Manatee,Optical,1,Hagelin,35
Marion,Votomatic,1,Hagelin,26
Martin,Lever,1,Hagelin,29
MiamiDade,Votomatic,1,Hagelin,119
Monroe,Optical,1,Hagelin,26
Nassau,Datavote,2,Hagelin,8
Okaloosa,Optical,1,Hagelin,15
Okeechobee,Optical,2,Hagelin,4
Orange,Optical,1,Hagelin,65
Osceola,Votomatic,1,Hagelin,20
PalmBeach,Votomatic,2,Hagelin,143
Pasco,Votomatic,1,Hagelin,83
Pinellas,Votomatic,1,Hagelin,442
Polk,Optical,1,Hagelin,59
Putnam,Optical,1,Hagelin,7
SantaRosa,Optical,1,Hagelin,13
Sarasota,Votomatic,1,Hagelin,94
Seminole,Optical,1,Hagelin,38
StJohns,Optical,1,Hagelin,11
StLucie,Optical,1,Hagelin,12
Sumter,Votomatic,1,Hagelin,2
Suwannee,Optical,2,Hagelin,4
Taylor,Optical,2,Hagelin,3
Union,Hand,2,Hagelin,0
Volusia,Optical,1,Hagelin,36
Wakulla,Datavote,1,Hagelin,3
Walton,Optical,1,Hagelin,11
Washington,Optical,1,Hagelin,2
Alachua,Optical,1,Buchanan,263
Baker,Optical,1,Buchanan,73
Bay,Optical,1,Buchanan,248
Bradford,Optical,2,Buchanan,65
Brevard,Optical,1,Buchanan,570
Broward,Votomatic,1,Buchanan,795
Calhoun,Optical,1,Buchanan,90
Charlotte,Optical,2,Buchanan,182
Citrus,Optical,1,Buchanan,270
Clay,Optical,1,Buchanan,186
Collier,Votomatic,1,Buchanan,122
Columbia,Optical,1,Buchanan,89
DeSoto,Datavote,2,Buchanan,36
Dixie,Datavote,1,Buchanan,29
Duval,Votomatic,2,Buchanan,652
Escambia,Optical,1,Buchanan,502
Flagler,Optical,1,Buchanan,83
Franklin,Optical,2,Buchanan,33
Gadsden,Optical,2,Buchanan,38
Gilchrist,Datavote,1,Buchanan,29
Glades,Datavote,1,Buchanan,9
Gulf,Optical,2,Buchanan,71
Hamilton,Optical,2,Buchanan,23
Hardee,Datavote,1,Buchanan,30
Hendry,Optical,2,Buchanan,22
Hernando,Optical,1,Buchanan,242
Highlands,Votomatic,1,Buchanan,127
Hillsborough,Votomatic,1,Buchanan,847
Holmes,Optical,1,Buchanan,76
IndianRiver,Votomatic,1,Buchanan,105
Jackson,Optical,2,Buchanan,102
Jefferson,Datavote,1,Buchanan,29
Lafayette,Optical,2,Buchanan,10
Lake,Optical,1,Buchanan,289
Lee,Votomatic,1,Buchanan,305
Leon,Optical,1,Buchanan,282
Levy,Optical,2,Buchanan,67
Liberty,Optical,2,Buchanan,39
Madison,Datavote,1,Buchanan,29
Manatee,Optical,1,Buchanan,271
Marion,Votomatic,1,Buchanan,563
Martin,Lever,1,Buchanan,112
MiamiDade,Votomatic,1,Buchanan,560
Monroe,Optical,1,Buchanan,47
Nassau,Datavote,2,Buchanan,90
Okaloosa,Optical,1,Buchanan,267
Okeechobee,Optical,2,Buchanan,43
Orange,Optical,1,Buchanan,446
Osceola,Votomatic,1,Buchanan,145
PalmBeach,Votomatic,2,Buchanan,3411
Pasco,Votomatic,1,Buchanan,570
Pinellas,Votomatic,1,Buchanan,1013
Polk,Optical,1,Buchanan,533
Putnam,Optical,1,Buchanan,148
SantaRosa,Optical,1,Buchanan,311
Sarasota,Votomatic,1,Buchanan,305
Seminole,Optical,1,Buchanan,194
StJohns,Optical,1,Buchanan,229
